model_idx,loading_sbml_error,loading_jax_error,init_error,simu_error,model_name,species_names,genus_names,family_names,order_names,class_names,phylum_names,kingdom_names,superkingdom_names,n_species,n_parameters,n_compartments,n_reactions,n_raterules,n_assignmentrules,n_nodes,n_inputs_per_node,n_variables,n_constants,simu_time (T=10)
110,,,,,Qu2003_CellCycle,[],[],[],[],[],[],[],['Eukaryota'],15,30,1,22,0,2,12,"[3, 2, 3, 3, 4, 2, 3, 2, 2, 3, 2, 2]",2,32,1.15450882911682
111,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
112,,,,,Clarke2006_Smad_signalling,['Neogale vison'],['Neogale'],['Mustelidae'],['Carnivora'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],10,4,2,8,0,4,10,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",4,15,0.617626190185547
113,,,NaN values,,Dupont1992_Ca_dpt_protein_phospho,[],[],[],[],[],[],[],[],4,19,2,7,0,1,3,"[6, 3, 1]",1,21,
114,,,,,Somogyi1990_CaOscillations,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],2,8,3,4,0,1,2,"[4, 2]",1,10,0.477432727813721
115,,,,,Somogyi1990_CaOscillations_SingleCaSpike,[],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],2,8,3,5,0,1,2,"[5, 3]",1,10,0.482561826705933
116,,,,,McClean2007_CrossTalk,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],6,20,1,10,0,0,6,"[3, 3, 2, 3, 3, 2]",0,21,0.713696718215942
117,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
118,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
119,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
120,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
121,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
122,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
123,,,,NaN values,Fisher2006_NFAT_Activation,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],14,22,2,17,0,0,14,"[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 2, 4, 2]",0,24,
124,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
125,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
126,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
127,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
128,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
129,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
130,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
131,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
132,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
133,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
134,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
135,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
136,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
137,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
138,,,Neg values,,Tabak2007_dopamine,[],[],[],[],[],['Chordata'],['Metazoa'],['Eukaryota'],1,40,1,1,3,12,4,"[1, 0, 0, 0]",12,26,
139,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
140,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
141,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
142,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
143,,,,Neg values,Olsen2003_neutrophil_oscillatory_metabolism,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],20,24,2,20,0,0,20,"[3, 3, 3, 3, 3, 2, 7, 2, 2, 5, 6, 4, 3, 3, 4, 4, 2, 2, 2, 1]",0,26,
144,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
145,,,,,Wang2007 - ATP induced intracellular Calcium Oscillation,[],[],[],[],[],[],[],[],7,32,2,11,0,10,5,"[4, 2, 2, 0, 0]",10,26,0.712180376052856
146,,,,NaN values,Hatakeyama2003_MAPK,[],[],['Cricetidae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],36,75,1,34,0,7,33,"[1, 1, 3, 3, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 3, 1, 3, 2, 4, 2, 1]",7,72,
147,,,,Neg values,ODea2007_IkappaB,['Mus musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],24,3,2,51,0,3,24,"[3, 5, 13, 3, 13, 4, 3, 7, 3, 3, 3, 4, 5, 3, 3, 3, 2, 2, 5, 3, 4, 3, 3, 3]",3,72,
148,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
149,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
150,,,,,Morris2002_CellCycle_CDK2Cyclin,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],4,2,1,2,0,1,4,"[1, 1, 2, 1]",1,6,0.502582550048828
151,,,,Neg values,Singh2006_IL6_Signal_Transduction,[],[],[],[],[],[],[],['Eukaryota'],68,105,2,72,0,0,66,"[3, 5, 2, 1, 5, 9, 3, 5, 6, 2, 5, 1, 5, 2, 4, 4, 3, 3, 7, 3, 2, 4, 2, 3, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 4, 2, 2, 4, 2, 6, 2, 2, 4, 2, 2, 2, 4, 2]",0,109,
152,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
153,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
154,,New case: unkown Reaction variable: delay,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
155,,New case: unkown Reaction variable: delay,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
156,,,,,Zatorsky2006_p53_Model5,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,7,1,5,0,0,3,"[2, 2, 2]",0,8,0.51257061958313
157,,,,Neg values,Zatorsky2006_p53_Model4,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,8,1,6,0,0,3,"[3, 2, 2]",0,9,
158,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
159,,,,,Zatorsky2006_p53_Model1,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,7,1,6,0,0,3,"[3, 2, 2]",0,8,0.505163192749023
160,,,,Neg values,Xie2007_CircClock,['Drosophila melanogaster'],['Drosophila'],['Drosophilidae'],['Diptera'],['Insecta'],['Arthropoda'],['Metazoa'],['Eukaryota'],25,47,1,41,0,0,20,"[5, 5, 3, 2, 4, 2, 4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2]",0,53,
161,,,,,Eungdamrong2007_Ras_Activation,[],[],[],[],[],[],[],[],46,26,7,43,0,12,44,"[2, 2, 2, 3, 9, 1, 2, 3, 3, 6, 2, 2, 5, 3, 5, 2, 2, 5, 1, 3, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3]",12,128,2.69733595848083
162,,,,NaN values,Hernjak2005_Calcium_Signaling,[],[],[],[],[],['Chordata'],['Metazoa'],['Eukaryota'],32,28,5,45,0,3,30,"[9, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2, 3, 9, 2, 2, 2, 1, 2, 2, 3, 2, 1, 2, 2, 2, 1, 3, 3, 1, 1]",3,206,
163,,,,,Zi2007_TGFbeta_signaling,[],[],[],[],[],[],[],[],16,20,3,26,0,2,16,"[3, 3, 3, 3, 8, 2, 3, 8, 2, 3, 4, 3, 3, 3, 2, 2]",2,21,1.04854798316956
164,,,,,SmithAE2002_RanTransport,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],26,12,5,29,0,5,23,"[5, 3, 3, 5, 2, 4, 3, 6, 2, 3, 2, 6, 11, 4, 3, 4, 6, 2, 2, 2, 4, 6, 3]",5,67,1.55501985549927
165,,,,NaN values,Saucerman2006_PKA,['Rattus norvegicus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],37,20,3,30,0,8,36,"[2, 6, 2, 5, 1, 1, 3, 4, 3, 5, 3, 2, 2, 2, 3, 3, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1]",8,58,
166,,,,,Zhu2007_TF_modulated_by_Calcium,[],[],[],[],[],[],[],[],3,7,2,9,0,2,3,"[3, 6, 3]",2,22,0.617871522903442
167,,,,,Mayya2005_STATmodule,[],[],[],[],[],[],[],[],9,0,3,7,0,1,7,"[3, 2, 3, 3, 3, 1, 2]",1,18,0.686838388442993
168,,,,,Obeyesekere1999_CellCycle,[],[],[],[],[],[],[],['Eukaryota'],7,21,1,10,0,3,5,"[2, 2, 2, 3, 2]",3,21,0.72689700126648
169,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
170,,,,,Weimann2004_CircadianOscillator,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],7,27,2,17,0,3,7,"[2, 4, 3, 2, 4, 5, 3]",3,26,0.734062194824219
171,,New case: unkown Reaction variable: ceil,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
172,,,,NaN values,Pritchard2002_glycolysis,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],25,0,2,19,0,0,24,"[1, 2, 8, 5, 9, 2, 2, 3, 3, 6, 2, 6, 2, 2, 2, 2, 4, 1, 1, 1, 1, 1, 1, 1]",0,90,
173,,,,,Schmierer_2008_Smad_Tgfb,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],26,17,2,26,0,4,26,"[3, 3, 2, 2, 6, 6, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 2, 6, 6, 2, 2, 2, 2, 2, 2, 2]",4,16,1.26152563095093
174,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
175,,,,,Birtwistle2007_ErbB_Signalling,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],120,240,1,102,0,2,118,"[2, 7, 1, 4, 2, 7, 2, 4, 2, 2, 2, 2, 2, 6, 5, 6, 6, 6, 6, 11, 2, 12, 10, 2, 11, 10, 2, 11, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 5, 4, 2, 3, 4, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 2, 1, 2, 2, 2, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 10, 2, 10, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 4, 1, 1, 1, 2, 2, 4, 2, 2, 4, 2, 2]",2,241,6.55421805381775
176,,,,NaN values,Conant2007_WGD_glycolysis_2A3AB,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],25,11,1,19,0,0,24,"[1, 2, 8, 5, 9, 2, 2, 3, 3, 6, 2, 6, 2, 2, 2, 2, 4, 1, 1, 1, 1, 1, 1, 1]",0,100,
177,,,,NaN values,Conant2007_glycolysis_2C,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],28,2,2,21,0,0,27,"[1, 2, 8, 5, 9, 2, 2, 3, 3, 6, 2, 6, 2, 2, 2, 3, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0,100,
178,,,,,Lebeda2008 - BoTN Paralysis (4 step model),"['Homo sapiens', 'Rattus norvegicus', 'Mus musculus']","['Homo', 'Rattus', 'Mus']","['Hominidae', 'Muridae', 'Muridae']","['Primates', 'Rodentia', 'Rodentia']","['Mammalia', 'Mammalia', 'Mammalia']","['Chordata', 'Chordata', 'Chordata']","['Metazoa', 'Metazoa', 'Metazoa']","['Eukaryota', 'Eukaryota', 'Eukaryota']",6,1,3,4,0,2,5,"[2, 2, 1, 2, 1]",2,7,0.510313510894775
179,,,,,Kim2007_CellularMemory_AsymmetricModel,[],[],[],[],[],[],[],[],7,18,1,17,0,1,7,"[2, 2, 4, 2, 2, 3, 2]",1,18,0.655189275741577
180,,,,,Kim2007_CellularMemory_SymmetricModel,[],[],[],[],[],[],[],[],8,20,1,20,0,2,8,"[2, 2, 4, 2, 2, 4, 2, 2]",2,19,0.735213279724121
181,,,,,Sriram2007_CellCycle,[],[],[],[],[],[],[],['Eukaryota'],6,25,1,18,0,0,6,"[4, 4, 4, 2, 2, 2]",0,26,0.833304166793823
182,,,,,Neves2008 - Role of cell shape and size in controlling intracellular signalling,['Rattus norvegicus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],37,28,3,32,0,19,32,"[3, 5, 3, 3, 9, 3, 2, 2, 2, 2, 1, 1, 4, 4, 2, 2, 3, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",19,72,2.14961171150208
183,,float division by zero,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
184,,,,,Lavrentovich2008_Ca_Oscillations,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,14,2,7,0,0,3,"[5, 3, 2]",0,16,0.650629281997681
185,,,,,Locke2008_Circadian_Clock,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],8,19,1,20,0,1,8,"[4, 2, 2, 2, 4, 2, 2, 2]",1,19,0.882219552993774
186,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
187,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
188,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
189,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
190,,,,,Rodriguez-Caso2006_Polyamine_Metabolism,[],[],[],['Rodentia'],"['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Metazoa', 'Metazoa']","['Eukaryota', 'Eukaryota']",11,17,1,13,4,2,15,"[1, 4, 2, 3, 2, 4, 2, 4, 4, 3, 1, 0, 0, 0, 0]",2,51,1.55707383155823
191,,,,,Montañez2008_Arginine_catabolism,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],3,0,2,5,0,0,3,"[3, 3, 1]",0,20,0.691248416900635
192,,,,NaN values,Görlich2003_RanGTP_gradient,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],13,0,2,9,0,0,12,"[2, 2, 2, 2, 1, 1, 2, 2, 3, 3, 2, 2]",0,19,
193,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
194,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
195,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
196,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
197,,,,,Bartholome2007_MDCKII,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],7,12,3,10,0,2,5,"[6, 7, 3, 2, 2]",2,15,0.57771110534668
198,,,,Neg values,Stone1996 - activation of soluble guanylate cyclase by nitric oxide,['Bos taurus'],['Bos'],['Bovidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],12,16,1,7,0,3,10,"[3, 1, 2, 2, 1, 1, 2, 2, 2, 1]",3,16,
199,,,,,Santolini2001_nNOS_Mechanism_Regulation,['Rattus norvegicus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],15,10,1,10,0,1,14,"[3, 2, 3, 2, 3, 2, 2, 2, 2, 3, 1, 2, 3, 1]",1,11,0.667980909347534
200,,,,Neg values,Bray1995_chemotaxis_receptorlinkedcomplex,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],22,2,1,34,0,1,21,"[4, 4, 6, 7, 7, 7, 7, 2, 5, 5, 3, 3, 3, 3, 3, 3, 9, 9, 0, 7, 7]",1,49,
201,,,NaN values,,Goldbeter2008_Somite_Segmentation_Clock_Notch_Wnt_FGF,[],[],[],[],[],['Chordata'],['Metazoa'],['Eukaryota'],26,71,1,33,0,5,17,"[3, 3, 2, 2, 2, 1, 3, 1, 5, 3, 1, 4, 2, 2, 2, 2, 2]",5,77,
202,,,,,ChenXF2008_CICR,[],[],[],[],[],[],[],[],9,38,3,15,1,2,8,"[2, 4, 2, 2, 2, 4, 3, 0]",2,40,0.956010103225708
203,,,,Neg values,Chickarmane2006 - Stem cell switch reversible,"['Homo sapiens', 'Mus musculus']","['Homo', 'Mus']","['Hominidae', 'Muridae']","['Primates', 'Rodentia']","['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Metazoa', 'Metazoa']","['Eukaryota', 'Eukaryota']",12,32,1,10,0,0,10,"[1, 3, 5, 1, 2, 3, 2, 1, 1, 2]",0,35,
204,,,,Neg values,Chickarmane2006 - Stem cell switch irreversible,"['Homo sapiens', 'Mus musculus']","['Homo', 'Mus']","['Hominidae', 'Muridae']","['Primates', 'Rodentia']","['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Metazoa', 'Metazoa']","['Eukaryota', 'Eukaryota']",12,32,1,10,0,0,10,"[1, 3, 5, 1, 2, 3, 2, 1, 1, 2]",0,35,
205,,,,Neg values,Ung2008_EGFR_Endocytosis,[],[],[],[],[],[],[],['Eukaryota'],194,0,1,205,0,0,194,"[1, 2, 3, 6, 13, 4, 2, 2, 2, 5, 4, 2, 8, 3, 4, 6, 4, 5, 2, 11, 3, 6, 2, 4, 2, 10, 10, 2, 4, 2, 14, 8, 2, 4, 2, 14, 2, 2, 4, 2, 2, 4, 2, 2, 4, 2, 2, 3, 2, 2, 2, 1, 4, 2, 2, 3, 2, 6, 1, 3, 2, 2, 5, 1, 2, 2, 2, 2, 6, 2, 2, 4, 2, 1, 3, 4, 2, 3, 2, 1, 2, 2, 8, 1, 7, 2, 9, 3, 2, 1, 6, 6, 6, 2, 5, 13, 2, 3, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 4, 2, 2, 6, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 3, 6, 6, 3, 2, 4, 3, 2, 4, 4, 3, 2, 5, 4, 3, 2, 5, 3, 2, 2, 4, 3, 2, 2, 4, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2]",0,314,
206,,,,,Wolf2000_Glycolytic_Oscillations,['Saccharomyces cerevisiae'],['Saccharomyces'],['Saccharomycetaceae'],['Saccharomycetales'],['Saccharomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],9,18,1,11,0,0,9,"[2, 5, 2, 4, 3, 2, 2, 3, 1]",0,19,0.770118474960327
207,,,,,Romond1999_CellCycle,[],[],[],[],[],[],[],['Eukaryota'],6,32,1,6,4,4,6,"[3, 3, 0, 0, 0, 0]",4,29,0.773004293441772
208,,,,,Deineko2003_CellCycle,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],6,18,1,15,0,1,6,"[2, 3, 2, 5, 3, 3]",1,18,0.693285465240479
209,,,,Neg values,Chickarmane2008 - Stem cell lineage determination,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],20,49,1,12,0,0,13,"[1, 2, 6, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2]",0,57,
210,,,,Neg values,Chickarmane2008 - Stem cell lineage - NANOG GATA-6 switch,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],18,46,1,12,0,0,13,"[1, 2, 6, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2]",0,52,
211,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
212,,,,,Curien2009_Aspartate_Metabolism,['Arabidopsis thaliana'],['Arabidopsis'],['Brassicaceae'],['Brassicales'],['Magnoliopsida'],['Streptophyta'],['Viridiplantae'],['Eukaryota'],31,4,1,18,0,3,14,"[4, 5, 5, 4, 3, 3, 4, 1, 2, 1, 1, 1, 1, 1]",3,79,1.34431862831116
213,,,,NaN values,Nijhout2004_Folate_Cycle,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],14,38,1,12,0,0,6,"[8, 5, 2, 5, 2, 2]",0,47,
214,,,,,Akman2008_Circadian_Clock_Model2,['Neurospora crassa'],['Neurospora'],['Sordariaceae'],['Sordariales'],['Sordariomycetes'],['Ascomycota'],['Fungi'],['Eukaryota'],16,38,2,24,0,4,12,"[2, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2]",4,40,1.24197030067444
215,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
216,,Custom functions are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
217,,,,NaN values,Bruggeman2005_AmmoniumAssimilation,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],22,98,1,16,0,4,22,"[2, 3, 4, 3, 3, 4, 2, 2, 2, 2, 2, 2, 5, 2, 3, 2, 1, 2, 2, 1, 2, 1]",4,95,
218,,,,,Singh2006_TCA_mtu_model2,['Mycobacterium tuberculosis'],['Mycobacterium'],['Mycobacteriaceae'],['Corynebacteriales'],['Actinomycetia'],['Actinobacteria'],[],['Bacteria'],13,0,1,14,0,0,13,"[2, 2, 2, 2, 5, 4, 2, 5, 1, 2, 3, 3, 1]",0,67,1.78384923934937
219,,,,,Singh2006_TCA_mtu_model1,['Mycobacterium tuberculosis'],['Mycobacterium'],['Mycobacteriaceae'],['Corynebacteriales'],['Actinomycetia'],['Actinobacteria'],[],['Bacteria'],13,0,1,15,0,0,13,"[2, 2, 2, 2, 5, 5, 2, 2, 5, 2, 3, 3, 1]",0,71,1.66287422180176
220,,,,Neg values,Albeck2008_extrinsic_apoptosis,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],58,77,2,42,0,6,58,"[1, 1, 2, 4, 1, 1, 2, 2, 7, 3, 2, 1, 1, 2, 2, 7, 1, 2, 4, 4, 2, 1, 2, 4, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 4, 3, 1, 4, 3, 1, 1, 1, 2, 5, 1, 2, 2, 1, 2, 2, 3, 1, 2, 2, 1]",6,73,
221,,,,,Singh2006_TCA_Ecoli_acetate,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],12,0,1,11,0,0,12,"[2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2, 1]",0,50,1.28313159942627
222,,,,,Singh2006_TCA_Ecoli_glucose,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],12,0,1,11,0,0,12,"[2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2, 1]",0,50,1.27008295059204
223,,,,Neg values,Borisov2009_EGF_Insulin_Crosstalk,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],86,162,2,109,0,29,80,"[1, 1, 3, 3, 11, 12, 2, 3, 3, 4, 4, 3, 3, 9, 2, 11, 4, 3, 1, 1, 3, 9, 2, 4, 7, 3, 3, 4, 2, 2, 16, 5, 6, 2, 2, 10, 3, 8, 8, 8, 2, 2, 3, 5, 5, 3, 2, 3, 1, 2, 2, 2, 2, 2, 2, 4, 2, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",29,141,
224,,,,Neg values,Meyer1991_CalciumSpike_ICC,['Rattus rattus'],['Rattus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],4,11,2,6,0,0,4,"[2, 2, 2, 2]",0,13,
225,,,,,Westermark2003_Pancreatic_GlycOsc_basic,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],5,19,1,3,0,4,4,"[1, 2, 2, 1]",4,17,0.710953712463379
226,,,,Neg values,Radulescu2008_NFkB_hierarchy_M_14_25_28_Lipniacky,['Mus musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],24,31,2,24,0,0,24,"[1, 2, 1, 5, 1, 1, 2, 3, 7, 4, 4, 1, 1, 2, 2, 2, 1, 2, 1, 6, 6, 6, 1, 1]",0,33,
227,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
228,,,,,Swat2004_Mammalian_G1_S_Transition,[],[],[],[],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],9,40,1,22,0,0,9,"[4, 5, 2, 4, 3, 2, 3, 4, 3]",0,41,1.03987073898315
229,,,,,Ma2002_cAMP_oscillations,['Dictyostelium discoideum'],['Dictyostelium'],['Dictyosteliaceae'],['Dictyosteliales'],['Eumycetozoa'],['Evosea'],[],['Eukaryota'],7,14,1,14,0,0,7,"[2, 2, 2, 2, 2, 2, 2]",0,15,0.599095582962036
